,average_anual_temp(c),ppm
1753,7.349333333333331,276.332
1758,6.088583333333333,276.286
1759,6.804166666666667,276.301
1766,7.958583333333333,276.649
1768,6.739583333333335,276.806
1769,6.937333333333334,276.885
1770,6.987750000000002,276.96
1771,7.718083333333332,277.031
1772,7.4377499999999985,277.093
1773,7.969083333333334,277.14599999999996
1775,8.077583333333335,277.217
1777,6.560666666666667,277.272
1781,7.613833333333333,277.574
1782,6.979749999999998,277.72900000000004
1783,6.642666666666666,277.915
1784,6.236916666666667,278.128
1785,6.323916666666666,278.36400000000003
1786,6.814833333333335,278.618
1787,6.806166666666665,278.885
1788,7.6018333333333326,279.16200000000003
1789,7.252083333333334,279.443
1790,7.222666666666666,279.724
1791,7.1115,280.0
1792,6.465833333333333,280.268
1793,7.812666666666668,280.52099999999996
1794,7.755583333333331,280.757
1795,7.0175833333333335,280.97
1796,6.820500000000002,281.163
1797,6.69575,281.342
1798,7.366249999999998,281.514
1799,6.845250000000001,281.685
1800,7.588333333333332,281.863
1801,8.014000000000001,282.05
1802,8.235749999999998,282.242
1803,7.813916666666667,282.436
1804,7.42925,282.628
1805,8.255833333333332,282.814
1806,7.047000000000001,282.991
1807,6.885833333333333,283.156
1808,7.314833333333333,283.303
1809,6.573833333333334,283.431
1810,7.236583333333333,283.534
1811,7.4280833333333325,283.611
1812,5.4760833333333325,283.655
1813,6.607750000000002,283.665
1814,6.360499999999999,283.637
1815,6.128249999999999,283.567
1816,5.825666666666668,283.461
1817,5.566666666666666,283.32599999999996
1818,5.913833333333334,283.17
1819,6.99025,283.002
1820,6.7995833333333335,282.828
1821,6.523166666666666,282.658
1822,7.370333333333334,282.499
1823,6.256666666666667,282.35900000000004
1824,7.044166666666666,282.245
1825,8.002166666666666,282.16700000000003
1826,7.841083333333334,282.131
1827,6.955750000000001,282.145
1828,8.449333333333334,282.20599999999996
1829,6.743833333333334,282.309
1830,7.715333333333333,282.448
1831,7.154916666666668,282.616
1832,6.670416666666665,282.809
1833,6.760083333333334,283.02
1834,6.910166666666666,283.244
1835,5.972166666666666,283.474
1836,5.278333333333332,283.70799999999997
1837,5.59075,283.94599999999997
1838,6.3595,284.187
1839,6.9526666666666666,284.433
1840,6.978583333333333,284.681
1841,6.8260000000000005,284.93
1842,6.925666666666668,285.178
1843,6.297083333333333,285.423
1844,6.565083333333334,285.664
1845,7.014583333333333,285.9
1846,7.3669166666666674,286.142
1847,7.120499999999999,286.397
1848,7.055083333333335,286.64799999999997
1849,6.580416666666667,286.874
1850,6.722083333333333,287.058
1851,6.609083333333333,287.19
1852,6.68975,287.264
1853,7.119416666666666,287.272
1854,6.950833333333333,287.223
1855,6.916166666666666,287.129
1856,5.915916666666665,287.002
1857,6.6375,286.853
1858,6.558333333333334,286.694
1859,6.566416666666666,286.534
1860,6.903999999999999,286.385
1861,7.0355,286.258
1862,6.7713333333333345,286.16200000000003
1863,6.915416666666666,286.107
1864,7.139333333333332,286.10400000000004
1865,7.493666666666667,286.161
1866,6.772916666666667,286.278
1867,6.421666666666667,286.454
1868,5.8875833333333345,286.685
1869,6.681416666666667,286.954
1870,7.912166666666665,287.23900000000003
1871,6.626666666666666,287.53
1872,6.411083333333334,287.816
1873,6.0006666666666675,288.087
1874,6.473833333333332,288.332
1875,5.2757499999999995,288.534
1876,6.831833333333333,288.699
1877,7.785333333333333,288.837
1878,8.012333333333334,288.959
1879,6.845,289.07599999999996
1880,7.611583333333333,289.199
1881,7.351416666666666,289.339
1882,6.893083333333334,289.507
1883,6.179583333333333,289.715
1884,7.080333333333333,289.972
1885,6.3265,290.289
1886,6.954000000000001,290.664
1887,6.798999999999999,291.08799999999997
1888,5.889166666666667,291.552
1889,7.978833333333333,292.046
1890,7.154666666666665,292.558
1891,7.9111666666666665,293.078
1892,7.228000000000001,293.591
1893,6.431000000000001,294.086
1894,7.746166666666667,294.548
1895,7.266416666666668,294.965
1896,7.275916666666667,295.313
1897,7.526166666666665,295.57599999999996
1898,8.011000000000001,295.767
1899,7.534416666666668,295.91
1900,7.945416666666667,296.026
1901,7.288833333333334,296.139
1902,7.4608333333333325,296.276
1903,7.347083333333333,296.457
1904,5.84625,296.697
1905,6.829999999999999,296.998
1906,7.609999999999999,297.351
1907,6.482666666666667,297.738
1908,7.846916666666666,298.144
1909,7.425,298.552
1910,7.621416666666666,298.952
1911,7.729583333333335,299.353
1912,7.15825,299.769
1913,8.575000000000001,300.20599999999996
1914,6.889416666666666,300.66
1915,7.977416666666667,301.126
1916,7.048333333333335,301.595
1917,6.036583333333333,302.059
1918,7.172916666666666,302.507
1919,7.896999999999999,302.93
1920,7.162416666666668,303.325
1921,8.5215,303.699
1922,7.711833333333331,304.06
1923,7.073250000000002,304.41700000000003
1924,6.875166666666668,304.777
1925,7.684416666666667,305.135
1926,6.394583333333333,305.491
1927,7.985416666666667,305.841
1928,7.8125833333333325,306.185
1929,7.703499999999998,306.522
1930,8.207166666666666,306.85200000000003
1931,8.740166666666667,307.185
1932,8.185249999999998,307.525
1933,7.888666666666666,307.881
1934,7.287749999999999,308.257
1935,7.302083333333335,308.651
1936,7.582166666666667,309.052
1937,8.262416666666667,309.448
1938,8.37875,309.82099999999997
1939,7.553833333333333,310.153
1940,6.677833333333333,310.422
1941,8.157333333333332,310.622
1942,8.028,310.762
1943,7.2203333333333335,310.855
1944,7.868416666666668,310.916
1945,7.9632499999999995,310.965
1946,8.277166666666668,311.022
1947,7.957333333333332,311.099
1948,7.6812499999999995,311.20799999999997
1949,9.303416666666667,311.356
1950,7.853666666666666,311.543
1951,8.274833333333333,311.764
1952,8.578583333333333,312.025
1953,9.334833333333334,312.337
1954,8.119166666666667,312.709
1955,8.204916666666668,313.143
1956,7.446083333333334,313.633
1957,8.509333333333334,314.172
1958,7.201999999999999,314.757
1959,8.414666666666667,315.383
1960,7.814083333333333,316.04200000000003
1961,7.944083333333334,316.725
1962,7.0938333333333325,317.428
1963,7.442999999999999,318.153
1964,7.737916666666666,318.903
1965,7.4935,319.686
1966,7.770333333333332,320.51
1967,7.343833333333332,321.378
1968,7.554833333333332,322.29200000000003
1969,7.9671666666666665,323.252
1970,7.702749999999999,324.257
1971,7.792833333333333,325.306
1972,7.1898333333333335,326.397
1973,8.969750000000001,327.532
1974,7.861916666666666,328.709
1975,8.354833333333332,329.92900000000003
1976,7.5248333333333335,331.195
1977,7.876500000000001,332.51300000000003
1978,7.0731666666666655,333.88
1979,8.317333333333332,335.291
1980,7.539583333333333,336.735
1981,8.023833333333334,338.204
1982,7.619666666666667,339.691
1983,8.543583333333332,341.194
1984,8.298666666666666,342.711
1985,7.863916666666667,344.236
1986,7.8373333333333335,345.765
1987,7.971833333333335,347.293
1988,7.902583333333335,348.811
1989,7.513999999999999,350.30699999999996
1990,9.1975,351.772
1991,9.078,353.212
1992,7.397916666666667,354.63800000000003
1993,7.835916666666665,356.07099999999997
1994,7.963833333333333,357.535
1995,8.126333333333333,359.04699999999997
1996,7.932499999999998,360.615
1997,7.867416666666667,362.241
1998,9.63166666666667,363.92400000000004
1999,9.304249999999998,365.657
2000,7.998916666666667,367.43199999999996
2001,8.911416666666668,369.24699999999996
2002,9.01575,371.103
2003,7.775666666666666,372.999
2004,8.089083333333333,374.926
2005,8.555916666666667,376.87699999999995
2006,9.482583333333332,378.847
2007,8.3645,380.837
2008,8.533666666666667,382.849
2009,8.069083333333335,384.892
2010,9.580166666666669,386.976
2011,9.12358333333333,389.11
2012,10.064666666666666,391.30199999999996
2013,11.11111111111111,393.55300000000005
2014,10.611111111111112,395.85699999999997
2015,10.88888888888889,398.205
2016,11.88888888888889,400.585
2017,11.444444444444446,402.98199999999997
2018,11.666666666666668,405.385
